tenure,event,is_male,is_senior,partner,dependents,phone,internet_fiber,internet_dsl,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,contract_1yr,contract_2yr,pay_echeck,paperless,MonthlyCharges_z,burr12_survival,burr12_hazard,burr12_churn_prob,burr12_strat_prob
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-1.1616113317725827,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
34,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.26085936993008635,0.7286243341114813,0.004609291590527576,0.04777537654084685,0.04777537654084685
2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,-0.3638974172257225,0.9544211124058478,0.01918286543259826,0.13658902706858933,0.13658902706858933
45,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,-0.747797238601399,0.6963590108821652,0.0036942216775406023,0.039349803973645514,0.039349803973645514
2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.1961642269457189,0.9544211124058478,0.01918286543259826,0.13658902706858933,0.13658902706858933
8,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1.158406636367869,0.8743368175545859,0.01156705087089483,0.09935054964947354,0.09935054964947354
22,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0.807744894764978,0.7772239626242997,0.006339847981342745,0.0625297608539006,0.0625297608539006
10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.1649351397498613,0.8554585264638187,0.010313003097985489,0.09145336847937524,0.09145336847937524
28,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1.3295827471977157,0.7506071373425116,0.0053347764644180165,0.05414016114784159,0.05414016114784159
62,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,-0.2874498337483152,0.6592190846564381,0.0028311702861325673,0.03096578220998969,0.03096578220998969
13,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.49352592833958725,0.8312566322761956,0.008894046614766308,0.0818402613059327,0.0818402613059327
16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5239064012959482,0.8107173068575363,0.007832475449686212,0.07414442618478301,0.07414442618478301
58,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1.1816732922088187,0.6669419291751147,0.0029954745981990286,0.0325962586220786,0.0325962586220786
49,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1.2930208594476515,0.6864927538867036,0.0034464244917631367,0.03698759780359384,0.03698759780359384
25,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1.352849403038666,0.7632263722784222,0.005792955912006608,0.05802443652851541,0.05802443652851541
69,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1.610444521277756,0.6468608243449303,0.002583528294433392,0.028476690845760766,0.028476690845760766
52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4674016656822124,0.6796022882225629,0.00328157591746785,0.03539633014558485,0.03539633014558485
71,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1.392735098766009,0.6435679119154606,0.0025205988088756303,0.02783802704790539,0.02783802704790539
10,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.3190260095324616,0.8554585264638187,0.010313003097985489,0.09145336847937524,0.09145336847937524
21,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0.8393210705491246,0.7822470612896891,0.006546583090128551,0.06419686154369075,0.06419686154369075
1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,-0.8358781499992815,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4956540334890804,0.8388580793219884,0.009318867014819062,0.08479678961103854,0.08479678961103854
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4840207055686052,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
58,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-0.1628070346003683,0.6669419291751147,0.0029954745981990286,0.0325962586220786,0.0325962586220786
49,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,-0.17277845853220394,0.6864927538867036,0.0034464244917631367,0.03698759780359384,0.03698759780359384
30,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,-0.3157022015551832,0.7428424163487329,0.0050683354621543905,0.051833777579476825,0.051833777579476825
47,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1.1484352124360329,0.6913226781406935,0.0035659686558325962,0.038131613989117574,0.038131613989117574
1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.1499780038521075,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
72,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0.8459686865036818,0.6419575496164033,0.002490279067928491,0.027529416300707155,0.027529416300707155
17,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.003264251690996137,0.8045134998853144,0.007534869537132169,0.07190499047148602,0.07190499047148602
71,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1.0487209731176752,0.6435679119154606,0.0025205988088756303,0.02783802704790539,0.02783802704790539
2,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1.0204686053108076,0.9544211124058478,0.01918286543259826,0.13658902706858933,0.13658902706858933
27,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0.04493096397954342,0.7546760980475697,0.005479040808994945,0.05537422178102336,0.05537422178102336
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4823588015799658,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6497449032716808,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
72,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1.1667161563110655,0.6419575496164033,0.002490279067928491,0.027529416300707155,0.027529416300707155
5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.16292614717293305,0.9085818526659613,0.014256987321705751,0.11453932573635439,0.11453932573635439
46,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.3324403540141406,0.6938140321924815,0.003628947567853564,0.038730988089776375,0.038730988089776375
34,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1.3811017708455338,0.7286243341114813,0.004609291590527576,0.04777537654084685,0.04777537654084685
11,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1.098578092776854,0.8469074549655476,0.009789108115316166,0.08799046091721618,0.08799046091721618
10,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.5068211602487017,0.8554585264638187,0.010313003097985489,0.09145336847937524,0.09145336847937524
70,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0.14630710728654012,0.6452021175658147,0.002551672337160255,0.02815370280249474,0.02815370280249474
17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4640778577049338,0.8045134998853144,0.007534869537132169,0.07190499047148602,0.07190499047148602
63,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0.500292656866709,0.6573679996492523,0.0027928980105273514,0.030583600220822293,0.030583600220822293
13,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0.37897366569604096,0.8312566322761956,0.008894046614766308,0.0818402613059327,0.0818402613059327
49,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0.6548497278101634,0.6864927538867036,0.0034464244917631367,0.03698759780359384,0.03698759780359384
2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.5167925841805374,0.9544211124058478,0.01918286543259826,0.13658902706858933,0.13658902706858933
2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0.526883120684938,0.9544211124058478,0.01918286543259826,0.13658902706858933,0.13658902706858933
52,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0.4969688488894306,0.6796022882225629,0.00328157591746785,0.03539633014558485,0.03539633014558485
69,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,-0.02154519556602825,0.6468608243449303,0.002583528294433392,0.028476690845760766,0.028476690845760766
43,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0.8459686865036818,0.7016186635948665,0.003832182002392298,0.04064972482294138,0.04064972482294138
15,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1.1401256924928365,0.817222359631732,0.00815567933565363,0.07653518145581295,0.07653518145581295
25,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0.1562785312183758,0.7632263722784222,0.005792955912006608,0.05802443652851541,0.05802443652851541
8,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.526883120684938,0.8743368175545859,0.01156705087089483,0.09935054964947354,0.09935054964947354
60,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0.3341022580027798,0.6630148153227823,0.0029109829180785306,0.031759872056746574,0.031759872056746574
18,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1.0188067013221684,0.798585597100695,0.007259843514731271,0.06980238681281059,0.06980238681281059
63,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1.158406636367869,0.6573679996492523,0.0027928980105273514,0.030583600220822293,0.030583600220822293
66,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1.4509017383683842,0.6519909407703324,0.0026840999053434323,0.029492182160968494,0.029492182160968494
34,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.3244779226592331,0.7286243341114813,0.004609291590527576,0.04777537654084685,0.04777537654084685
72,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1.4193255625842376,0.6419575496164033,0.002490279067928491,0.027529416300707155,0.027529416300707155
47,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1.1866590041747367,0.6913226781406935,0.0035659686558325962,0.038131613989117574,0.038131613989117574
60,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0.8343353585832071,0.6630148153227823,0.0029109829180785306,0.031759872056746574,0.031759872056746574
72,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,-0.7544448545559561,0.6419575496164033,0.002490279067928491,0.027529416300707155,0.027529416300707155
18,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,-0.3456164733506904,0.798585597100695,0.007259843514731271,0.06980238681281059,0.06980238681281059
9,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0.9839067175607433,0.8645756330248363,0.010901071741709328,0.09522425637547682,0.09522425637547682
3,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0.34905939390053353,0.9373188893787414,0.017092860770546496,0.12812771737333695,0.12812771737333695
47,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0.46871648108256286,0.6913226781406935,0.0035659686558325962,0.038131613989117574,0.038131613989117574
31,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0.4786879050143985,0.7391329118702427,0.004945042598351195,0.05075440110013929,0.05075440110013929
50,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.4840207055686052,0.6841504128114664,0.003389643293482253,0.03644129666249096,0.03644129666249096
10,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0.500292656866709,0.8554585264638187,0.010313003097985489,0.09145336847937524,0.09145336847937524
1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.5234402001350946,0.9743124842439652,0.02235010364622835,0.1468274853100915,0.1468274853100915
52,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,-1.4757111856254088,0.6796022882225629,0.00328157591746785,0.03539633014558485,0.03539633014558485
64,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1.5556016896526592,0.6555468612609421,0.002755656035094927,0.030210834407233156,0.030210834407233156
62,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-1.3477445785001834,0.6592190846564381,0.0028311702861325673,0.03096578220998969,0.03096578220998969
3,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,-0.009911867645553398,0.9373188893787414,0.017092860770546496,0.12812771737333695,0.12812771737333695
56,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1.519039801902595,0.6710090587453561,0.003085072619735503,0.03347844798497823,0.03347844798497823
